ID,Entry_Term,DegreeDate,DegreeEarned,DegreeMajor,DegreeGPA,HSGPA,ACTMath,ACTEnglish,Gender,Race,Citizenship,First_Gen,HomeState,EFC,FamilyIncome,FatherEdLevel,MotherEdLevel,PELL,Loan,TOPS,CampHousing,Greek,FirstSemGPA,FirstYearGPA,SecondYearGPA,SixyearCompletion,FirstYrCalcorHigherCompletion,FirstYrStEMRetention,SecondYrSTEMRetention,FirstYrEarnedCreditHours,SecondYrEarnedCreditHours,STEMDegreeCompletion
373,Fall2012,,,,,3.72,24,31,1,7,1,0,1,30729,235000,6,4,0,1,1,0,1,3.933,3.896,3.850,0,1,1,1,30,61,0
888,Fall2012,Spring2016,BS,BIOL  ,3.994,3.98,28,33,0,7,0,0,1,32680,114300,4,4,0,1,1,0,0,4.000,4.000,3.953,1,1,1,1,31,65,1
1266,Fall2012,,,,,3.15,25,25,1,3,1,0,1,21,22699,6,6,1,1,1,0,0,3.428,2.850,2.656,0,1,1,0,21,33,0
1506,Fall2012,Spring2016,BS,GBUS  ,3.026,3.47,23,24,0,7,1,0,1,28605,66678,5,4,0,1,1,0,1,3.000,3.000,2.944,1,0,0,0,30,54,0
1619,Fall2012,Spring2016,BS,MKT   ,3.249,3.50,24,24,1,7,1,0,1,21286,151221,4,4,0,0,1,0,1,2.823,2.653,2.892,1,0,0,0,26,56,0
1654,Fall2012,,,,,3.34,23,24,0,7,1,1,1,0,24008,1,2,1,0,1,0,0,1.214,1.280,     ,0,0,1,0,21,21,0
1764,Fall2012,Spring2016,BSCM,CM    ,2.949,3.42,21,21,1,7,1,1,1,31919,139835,1,2,0,0,1,0,0,3.000,3.000,2.785,1,1,1,1,26,56,1
1937,Fall2012,Summer2018,BA,PHIL  ,2.218,3.38,30,31,0,1,1,0,1,0,0,4,4,1,0,1,0,0,3.444,3.200,2.813,1,1,1,1,30,72,0
2285,Fall2012,Summer2017,BS,GBUS  ,2.219,3.96,22,20,0,7,1,1,1,0,17308,2,1,1,0,1,0,0,1.923,2.354,2.304,1,0,1,0,19,34,0
2627,Fall2012,,,,,2.79,21,23,1,2,1,1,1,0,4758,0,0,1,1,1,0,0,0.500,0.500,     ,0,0,0,0,6,6,0
2699,Fall2012,Spring2016,BS,ACCT  ,2.880,3.51,30,26,0,7,1,0,1,81538,98338,4,4,0,0,1,0,1,2.571,2.409,2.982,1,1,0,0,23,56,0
2879,Fall2012,Spring2017,BSCM,CM    ,3.137,3.22,28,23,1,7,1,0,1,7895,116567,4,4,0,0,1,0,0,1.823,1.925,2.491,1,1,0,1,24,54,1
2955,Fall2012,,,,,3.44,22,24,0,2,1,1,1,13542,120747,1,2,0,1,1,0,0,1.416,1.966,     ,0,0,0,0,24,24,0
